,SPY,SPY index,AAPL,,MS,,XLF,,XLK,,Portfolio,
10/12/2017,254.64,1,156,1,48.59,1,26.12,1,60.21,1,2925.81,1
10/13/2017,254.95,1.001217405,156.99,1.006346154,48.3,0.994031694,26.13,1.000382848,60.5,1.004816476,2930.39,1.001565378
10/16/2017,255.29,1.002552623,159.88,1.024871795,48.94,1.007203128,26.3,1.006891271,60.72,1.008470354,2935.4,1.003277725
10/17/2017,255.47,1.003259504,160.47,1.028653846,49.12,1.010907594,26.17,1.001914242,60.72,1.008470354,2936.81,1.003759643
10/18/2017,255.72,1.004241282,159.76,1.024102564,50.15,1.032105371,26.31,1.007274119,60.87,1.010961634,2940.48,1.005013996
10/19/2017,255.79,1.00451618,155.98,0.999871795,49.79,1.02469644,26.33,1.008039816,60.69,1.007972098,2940.34,1.004966146
10/20/2017,257.11,1.009699969,156.25,1.001602564,50.68,1.043012966,26.64,1.019908116,61.1,1.014781598,2956.52,1.010496239
10/23/2017,256.11,1.005772856,156.17,1.001089744,50.61,1.04157234,26.62,1.01914242,60.81,1.009965122,2945.01,1.006562285
10/24/2017,256.56,1.007540057,157.1,1.007051282,51.07,1.051039308,26.81,1.026416539,60.98,1.012788573,2950.93,1.008585657
10/25/2017,255.29,1.002552623,156.41,1.002628205,50.53,1.039925911,26.65,1.020290965,60.65,1.007307756,2936.1,1.003516975
10/26/2017,255.62,1.003848571,157.41,1.009038462,50.77,1.044865199,26.8,1.026033691,60.9,1.01145989,2941.1,1.005225903
10/27/2017,257.71,1.012056236,163.05,1.045192308,51.16,1.052891541,26.78,1.025267994,62.54,1.038697891,2970.14,1.01515136
10/30/2017,256.75,1.008286208,166.72,1.068717949,50.46,1.038485285,26.67,1.021056662,62.68,1.041023086,2960.91,1.011996678
10/31/2017,257.15,1.009857053,169.04,1.083589744,50,1.029018317,26.6,1.018376723,62.95,1.045507391,2966.05,1.013753456
11/1/2017,257.49,1.011192271,166.89,1.069807692,49.63,1.021403581,26.64,1.019908116,62.96,1.045673476,2969.62,1.014973631
11/2/2017,257.59,1.011584983,168.11,1.077628205,50.42,1.03766207,26.89,1.029479326,62.99,1.046171732,2971.52,1.015623024
